_id,Loại dự án,Tên dự án,Đường,Thành phố,Chủ đầu tư,Trạng thái,Diện tích(m²),Ngày đăng,Tổng vốn đầu tư(tỷ đồng),Xếp hạng,Mô tả
66f8f9c98ac175583333e8e5,Đất Nền Dự Án,The Long Eyes: Dự án đất nền tại Đồng Nai,đường Sông Thao 5,Trảng Bom,Công Ty Cổ Phần Bất Động Sản Asian Holding,Đang mở bán,8200.0,12/09/2024 8:49 AM,chưa cập nhật,5.0,"The Long Eyes là dự án đất nền có vị trí tại đường Sông Thao 5, xã Sông Thao, huyện Trảng Bom, tỉnh Đồng Nai. Dự án chỉ cách TP.HCM khoảng 60km. Trong bán kính 3km, cư dân tại dự án có thể tiếp cận được nhiều tiện ích đa dạng như chợ Sông Thao, UBND xã Sông Thao, trường TH Sông Thao, các trung tâm thương mại lớn, Khu du lịch Thác Đá Hàn…"
66f8f9cb8ac175583333e8e6,Căn hộ chung cư,Golden City: Dự án nhà ở xã hội tại Tây Ninh,số 6 đường Hồ Văn Lâm,TP. Tây Ninh,Công ty Cổ phần Đầu tư Thành Phố Vàng,Đang mở bán,33540.7,25/09/2024 9:05 AM,2200.0,chưa có đánh giá,"Golden City là căn hộ nhà ở xã hội tọa lạc tại số 6 đường Hồ Văn Lâm, phường 2, TP.Tây Ninh, tỉnh Tây Ninh. Từ dự án cư dẫn dễ dàng kết nối đến các tiện ích công cộng hoàn chỉnh như chợ Tây Ninh, bến xe Tây Ninh, UBND tỉnh, bệnh viện, công viên 30/4 chỉ từ 5-10 phút di chuyển."
66f8f9cd8ac175583333e8e7,Căn hộ chung cư,Setia Gardens Residences: Dự án căn hộ tại Bình Dương,Khu đô thị Eco Xuân,mặt tiền Quốc lộ 13,Công ty TNHH MTV Setia Lái Thiêu,Đang mở bán,12389.0,13/09/2024 1:37 PM,chưa cập nhật,chưa có đánh giá,"Setia Gardens Residences tọa lạc tại Khu đô thị Eco Xuân, mặt tiền Quốc lộ 13 phường Lái Thiêu, TP.Thuận An, tỉnh Bình Dương. Dự án nằm gần các trục giao thông quan trọng như Quốc lộ 13 và Quốc lộ 1A nên dễ dàng nhanh chóng di chuyển đến trung tâm TP.HCM. Từ dự án chỉ mất 02 phút để đến bệnh viện quốc tế Miền Đông, 05 đến sân Golf Sông Bé, Lotte Bình Dương, siêu thị Aeon và Metro…"
66f8f9d08ac175583333e8e8,Nhà Phố - Biệt Thự,Dự án Sun Festival Avenue Phú Quốc,đảo Hòn Thơm,TP. Phú Quốc,Công ty Cổ phần Tập đoàn Mặt Trời (Sun Group),Đang mở bán,305000.0,16/09/2024 8:47 PM,chưa cập nhật,chưa có đánh giá,"Sun Festival Avenue là một trong ba hợp phần của dự án Hon Thom Paradise Island, tọa lạc tại trung tâm đảo Hòn Thơm, phường An Thới, TP.Phú Quốc, tỉnh Kiên Giang. Dự án nằm liền kề Sun World Hòn Thơm Nature Park, ga cáp treo, vịnh du thuyền Bãi Nam và bãi Chướng. Ngoài ra, dự án cũng liền kề các công trình biểu tượng như Tòa nhà Cánh Buồm, Nhà hàng San Hô, Khu bảo tồn cá heo, Vịnh du thuyền Santo Port…"
66f8f9d28ac175583333e8e9,Nhà Phố - Biệt Thự,Phân khu Miyabi – Vinhomes Royal Island Hải Phòng,thuộc Đảo Vũ Yên,Thủy Nguyên,Tập đoàn Vingroup - Công ty Cổ phần,Đang mở bán,chưa cập nhật,18/09/2024 12:48 PM,chưa cập nhật,5.0,"Phân khu Miyabi là phân khu đóng nằm dọc theo sông Cấm, thuộc đại đô thị Vinhomes Royal Island, đảo Vũ Yên, huyện Thủy Nguyên, TP.Hải Phòng. Phân khu được bao bọc bởi 3 trục đường Hạnh Phúc, Miyabi và Miyabi 1. Trong đó, đường Hạnh Phúc là một trong những trục giao thông chính của Vinhomes Royal Island, giúp cư dân dễ dàng kết nối tới các khu vực trọng điểm bên trong thành phố đảo"
66f8f9d48ac175583333e8ea,Căn hộ chung cư,Dự án Noble Crystal Tây Hồ,Lô đất CT01,Khu đô thị Quốc tê Ciputra,Công ty cổ phần bất động sản Wonderland,Đang mở bán,50850.0,19/09/2024 2:15 PM,12286.0,chưa có đánh giá,"Noble Crystal Tây Hồ tọa lạc tại Lô đất CT01, khu đô thị Quốc tế Ciputra, phường Phú Thượng, quận Tây Hồ, Hà Nội. Dự án nằm ven bờ sông Hồng và gần các tuyến đường giao thông chính của Thủ đô, kết nối với các khu đô thị lớn như Tây Hồ Tây và Ngoại giao Đoàn. Bên cạnh đó, dự án cũng gần với tuyến đường sắt Metro số 02 Nam Thăng Long – Trần Hưng Đạo."
66f8f9d78ac175583333e8eb,Nhà Phố - Biệt Thự,Cát Tường J-Home Bình Dương,DT743,TP. Thuận An,Công ty TNHH Bất động sản Thiên Hưng Phát,Đang mở bán,23000.0,23/09/2024 4:03 PM,chưa cập nhật,chưa có đánh giá,"Cát Tường J-Home là khu đô thị tọa lạc tại DT743, phường Bình Chuẩn, TP.Thuận An, Bình Dương. Từ dự án, cư dân có thể kết nối đến các tuyến đường DT747, DT746, Đại lộ Tân Vạn – Mỹ Phước, Quốc lộ 13,…giúp kết nối đến TP.Biên Hòa, TP.Tân Uyên, TP. Dĩ An, TP.HCM. Dự án còn gần kề các khu công nghiệp lớn như KCN VSIP 1, KCN VSIP 2, KCN Sóng Thần, KCN Bàu Bàng, KCN Đồng An, KCN Tam Phước…"
66f8f9d98ac175583333e8ec,Nhà Phố - Biệt Thự,Noble Palace Long Biên,phường Việt Hưng,quận Long Biên,Tập đoàn Sunshine,Đang mở bán,27000.0,24/09/2024 3:39 PM,3000.0,chưa có đánh giá,"Noble Palace Long Biên có vị trí tại phường Việt Hưng, quận Long Biên, Hà Nội. Dự án nằm liền kề Vinhomes Riverside nên được thừa hưởng tiện ích đầy đủ và đa dạng của khu đô thị này. Bên cạnh đó, từ dự án cư dân cũng dễ dàng kết nối ra các khu vực khác như: Cầu Thanh Trì, cầu Vĩnh Tuy, các trường Đại học (Học viện Nông nghiệp Việt Nam, ĐH Quốc tế VinUni, ĐH Dược Hà Nội), bệnh viện (Đa khoa Đức Giang, Hữu nghị, Vinmec, Quân đội 108)…"
66f8f9dc8ac175583333e8ed,Căn hộ chung cư,Dự án Noble Crystal Long Biên,đường Vũ Đức Thận,Long Biên,Tập đoàn Sunshine,Đang mở bán,17000.0,27/09/2024 3:17 PM,8800.0,chưa có đánh giá,"Noble Crystal Long Biên có vị trí tại đường Vũ Đức Thận, phường Việt Hưng, quận Long Biên, TP.Hà Nội. Dự án nằm liền kề Khu đô thị Vinhomes Riverside nên được thừa hưởng đầy đủ tiện ích của khu đô thị. Bên cạnh đó, cư dân tại dự án cũng tiếp cận trọn vẹn hệ thống tiện ích ngoại khu như công viên Jura Park, sân golf Long Biên, Aeon Mall Long Biên…"
66f8f9de8ac175583333e8ee,Nhà Phố - Biệt Thự,"Tổ hợp biệt thự, shophouse Noble Palace Tây Hồ",khu đô thị Ciputra Nam Thăng Long,Tây Hồ,Tập đoàn Sunshine,Đang mở bán,101000.0,27/09/2024 6:13 PM,chưa cập nhật,chưa có đánh giá,"Noble Palace Tây Hồ là dự án tổ hợp biệt thự, shophouse nằm trong khu đô thị Ciputra Nam Thăng Long, phường Phú Thượng, quận Tây Hồ và Bắc Từ Liêm, Hà Nội. Dự án được xây dựng tại bờ nam sông Hồng, gần với hồ Tây và nằm sát ngay trung tâm hành chính mới của Hà Nội, giúp cư dân kết nối thuận tiện đến trung tâm thành phố, các quận huyện nội ngoại thành khác."
